ml_name,side_effects,db_name
Pirtobrutinib,"['tiredness', 'headache', 'muscle pain', 'joint pain', 'bone pain', 'diarrhea', 'constipation', 'stomach pain', 'nausea', 'decreased appetite', 'numbness in your hands', 'numbness in your feet', 'numbness in your arms', 'numbness in your legs', 'tingling in your hands', 'tingling in your feet', 'tingling in your arms', 'tingling in your legs', 'rash', 'mouth sores', 'difficulty falling asleep', 'difficulty staying asleep', 'swelling', 'fever', 'chills', 'cough', 'weakness', 'flu-like symptoms', 'signs of infection', 'blood in your stools', 'stools that look like tar', 'pink urine', 'brown urine', 'unusual bleeding', 'unexpected bleeding', 'vomiting blood', 'vomit that looks like coffee grounds', 'coughing up blood', 'coughing up blood clots', 'increased bruising', 'dizziness', 'weakness', 'confusion', 'changes in speech', 'headache that lasts a long time', 'fast heart rate', 'irregular heart rate', 'fainting', 'chest discomfort', 'shortness of breath', 'falling', 'memory problems', 'pain in the upper right part of the stomach', 'yellowing of the skin', 'yellowing of the eyes', 'dark-colored urine']",Pirtobrutinib
Cephalexin,"['nausea', 'diarrhea', 'vomiting', 'heartburn', 'stomach pain', 'rectal itching', 'genital itching', 'dizziness', 'extreme tiredness', 'agitation', 'confusion', 'headache', 'joint pain', 'watery stools', 'bloody stools', 'stomach cramps', 'fever during treatment', 'fever up to two or more months after stopping treatment', 'rash', 'itching', 'hives', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'difficulty breathing', 'difficulty swallowing', 'wheezing', 'return of fever', 'sore throat', 'chills', 'signs of infection', 'hallucinations']",Cephalexin
Fluvastatin,"['headache', 'heartburn', 'difficulty falling asleep', 'difficulty staying asleep', 'sinus pain', 'cough', 'memory loss', 'forgetfulness', 'confusion', 'muscle pain', 'muscle tenderness', 'muscle weakness', 'lack of energy', 'fever', 'extreme tiredness', 'yellowing of the skin', 'yellowing of the eyes', 'pain in the upper right part of the stomach', 'dark-colored urine', 'nausea', 'unusual bleeding', 'unusual bruising', 'loss of appetite', 'flu-like symptoms', 'rash', 'hives', 'itching', 'difficulty breathing', 'difficulty swallowing', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'hoarseness']",Fluvastatin
Pimozide,"['weakness', 'dizziness', 'feeling unsteady', 'trouble keeping your balance', 'dry mouth', 'increased saliva', 'diarrhea', 'constipation', 'unusual hunger', 'unusual thirst', 'changes in posture', 'nervousness', 'changes in behavior', 'difficulty tasting food', 'sensitivity to light', 'changes in vision', 'decreased sexual ability in men', 'blank facial expression', 'shuffling walk', 'unusual movements of any part of the body', 'slowed movements of any part of the body', 'uncontrollable movements of any part of the body', 'restlessness', 'speech problems', 'changes in handwriting', 'rash', 'fever', 'muscle stiffness', 'falling', 'confusion', 'sweating', 'fast heartbeat', 'irregular heartbeat', 'neck cramps', 'tightness in the throat', 'difficulty breathing', 'difficulty swallowing', 'tongue that sticks out of the mouth', 'fine, worm-like tongue movements', 'uncontrollable face movements', 'uncontrollable mouth movements', 'uncontrollable jaw movements', 'rhythmic face movements', 'rhythmic mouth movements', 'rhythmic jaw movements']",Pimozide
Selinexor,"['nausea', 'vomiting', 'diarrhea', 'constipation', 'weight loss', 'loss of appetite', 'extreme tiredness', 'difficulty falling asleep', 'difficulty staying asleep', 'headache', 'taste changes', 'easy bleeding', 'easy bruising', 'fatigue', 'pale skin', 'shortness of breath', 'fever', 'cough', 'chills', 'signs of infection', 'seeing things that do not exist', 'hearing voices that do not exist', 'confusion', 'blurred vision', 'double vision', 'increased sensitivity to light', 'increased sensitivity to glare']",Selinexor
Tazemetostat,"['loss of appetite', 'nausea', 'vomiting', 'constipation', 'stomach pain', 'tiredness', 'pain', 'muscle pain', 'bone pain', 'joint pain', 'fatigue', 'easy bruising', 'fever', 'bone pain', 'pale skin', 'unusual bleeding', 'skin infection', 'shortness of breath']",Tazemetostat
Panobinostat,"['weight loss', 'headache', 'black stools', 'tarry stools', 'bloody stools', 'bloody vomit', 'vomited material that looks like coffee grounds', 'unusual bruising', 'unusual bleeding', 'pink urine', 'brown urine', 'blood in phlegm', 'confusion', 'changes in your speech', 'fever', 'cough', 'chills', 'sweating', 'signs of infection', 'pale skin', 'nausea', 'vomiting', 'loss of appetite', 'dark urine', 'stomach pain', 'extreme tiredness', 'lack of energy', 'yellowing of skin', 'yellowing of white of eyes']",Panobinostat
Piroxicam,"['diarrhea', 'constipation', 'gas', 'headache', 'dizziness', 'ringing in the ears', 'vision problems', 'unexplained weight gain', 'shortness of breath', 'difficulty breathing', 'swelling in the abdomen', 'swelling in the ankles', 'swelling in the feet', 'swelling in the legs', 'fever', 'blisters', 'joint pain', 'rash', 'itching', 'hives', 'swelling of the eyes', 'swelling of the face', 'swelling of the lips', 'swelling of the tongue', 'swelling of the throat', 'swelling of the arms', 'swelling of the hands', 'difficulty breathing', 'difficulty swallowing', 'hoarseness', 'pale skin', 'fast heartbeat', 'excessive tiredness', 'unusual bleeding', 'unusual bruising', 'lack of energy', 'upset stomach', 'loss of appetite', 'pain in the upper right part of the stomach', 'flu-like symptoms', 'yellowing of the skin', 'yellowing of the eyes', 'cloudy urine', 'discolored urine', 'bloody urine', 'back pain', 'difficult urination', 'painful urination']",Piroxicam
Cenobamate,"['headache', 'tiredness', 'nausea', 'vomiting', 'diarrhea', 'constipation', 'dry mouth', 'taste changes', 'heartburn', 'stomach pain', 'loss of appetite', 'weight loss', 'back pain', 'difficulty reading', 'difficulty writing', 'difficulty speaking', 'confusion', 'hallucinations', 'paranoia', 'hostility', 'aggression', 'double vision', 'blurred vision', 'rash', 'hives', 'swelling of your face', 'swelling of your legs', 'difficulty swallowing', 'difficulty breathing', 'fever', 'sore throat', 'swollen glands', 'sores in mouth', 'sores around eyes', 'unusual bruising', 'unusual bleeding', 'fatigue', 'weakness', 'muscle pain', 'yellowing of skin', 'yellowing of eyes', 'dark urine', 'shortness of breath', 'irregular heartbeat', 'fainting']",Cenobamate
Tranylcypromine,"['drowsiness', 'weakness', 'dry mouth', 'loss of appetite', 'diarrhea', 'constipation', 'stomach pain', 'blurred vision', 'chills', 'ringing in the ears', 'muscle tightening', 'muscle jerking', 'uncontrollable shaking of any part of the body', 'numbness in the arms', 'numbness in the legs', 'burning in the arms', 'burning in the legs', 'tingling in the arms', 'tingling in the legs', 'difficulty urinating', 'decreased sexual ability', 'hair loss', 'rash', 'headache', 'slow heartbeat', 'fast heartbeat', 'pounding heartbeat', 'chest pain', 'chest tightness', 'tightening of the throat', 'nausea', 'sweating', 'fever', 'cold skin', 'clammy skin', 'dizziness', 'neck stiffness', 'neck soreness', 'sensitivity to light', 'widened pupils', 'swelling of arms', 'swelling of hands', 'swelling of feet', 'swelling of ankles', 'swelling of lower legs', 'unusual bleeding', 'unusual bruising', 'pain in the upper right part of the stomach', 'flu-like symptoms', 'yellowing of the skin', 'yellowing of the eyes']",Tranylcypromine
Ribociclib,"['diarrhea', 'constipation', 'nausea', 'vomiting', 'stomach pain', 'headache', 'hair loss', 'back pain', 'itching', 'mouth sores', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'difficulty falling asleep', 'difficulty staying asleep', 'fever', 'sore throat', 'chills', 'signs of infection', 'rash', 'blistering of the skin', 'peeling of the skin', 'burning of the lips', 'burning of the eyes', 'burning of the mouth', 'blistering of the lips', 'blistering of the eyes', 'blistering of the mouth', 'rapid heartbeat', 'irregular heartbeat', 'pounding heartbeat', 'difficulty breathing', 'shortness of breath', 'cough with mucus', 'cough without mucus', 'chest pain', 'dizziness', 'fainting', 'yellowing of the skin', 'yellowing of the eyes', 'dark urine', 'brown (tea-colored) urine', 'tiredness', 'loss of appetite', 'pain in upper right side of stomach', 'bleeding more easily than normal', 'bruising more easily than normal']",Ribociclib
Daunorubicin,"['nausea', 'vomiting', 'sores in the mouth', 'sores in the throat', 'diarrhea', 'stomach pain', 'hair loss', 'red urine', 'redness at the site where the injection was given', 'pain at the site where the injection was given', 'swelling at the site where the injection was given', 'burning at the site where the injection was given', 'rash', 'hives', 'itching', 'difficulty breathing', 'difficulty swallowing']",Daunorubicin
Tegaserod,"['headache', 'diarrhea', 'nausea', 'gas', 'heartburn', 'dizziness', 'rash', 'hives', 'itching', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'difficulty breathing', 'difficulty swallowing', 'hoarseness', 'chest pain that may spread to the arms', 'chest pain that may spread to the neck', 'chest pain that may spread to the jaw', 'chest pain that may spread to the back', 'chest pain that may spread to the stomach area', 'sweating', 'shortness of breath', 'feeling sick', 'vomiting', 'sudden numbness', 'sudden weakness', 'severe headache', 'confusion', 'problems with vision', 'problems with speech', 'problems with balance', 'bleeding from the rectum', 'new stomach pain', 'worsening stomach pain', 'diarrhea that is bloody', 'diarrhea that causes you to feel lightheaded', 'diarrhea that causes you to feel faint']",Tegaserod
Dabigatran,"['stomach pain', 'upset stomach', 'heartburn', 'nausea', 'unusual bruising', 'unusual bleeding', 'pink urine', 'brown urine', 'red stools', 'black stools', 'tarry stools', 'coughing up blood', 'vomiting material that is bloody', 'vomiting material that looks like coffee grounds', 'bleeding from the gums', 'frequent nosebleeds', 'heavy menstrual bleeding', 'bleeding from a cut that lasts longer than normal', 'joint pain', 'joint swelling', 'headache', 'dizziness', 'feeling faint', 'weakness', 'hives', 'rash', 'itching', 'difficulty breathing', 'difficulty swallowing', 'chest pain', 'chest tightness', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the arms', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs']",Dabigatran
Carvedilol,"['diarrhea', 'fainting', 'shortness of breath', 'weight gain', 'swelling of the arms', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'chest pain', 'slow heartbeat', 'irregular heartbeat', 'rash', 'hives', 'itching', 'difficulty breathing', 'difficulty swallowing', 'swelling of the face', 'swelling of the lips', 'swelling of the tongue', 'swelling of the throat']",Carvedilol
Streptozocin,"['diarrhea', 'feeling tired', 'depression', 'pain in the place where this medication was injected', 'itching in the place where this medication was injected', 'redness in the place where this medication was injected', 'swelling in the place where this medication was injected', 'blisters in the place where this medication was injected', 'sores in the place where this medication was injected', 'nausea', 'vomiting', 'shakiness', 'dizziness', 'lightheadedness', 'sweating', 'confusion', 'nervousness', 'irritability', 'sudden changes in behavior', 'sudden changes in mood', 'headache', 'numbness around the mouth', 'tingling around the mouth', 'sudden hunger', 'seizures', 'excessive thirst', 'frequent urination']",Streptozocin
Molindone,"['feeling unsteady', 'trouble keeping your balance', 'drowsiness', 'dry mouth', 'blurred vision', 'increased saliva', 'nausea', 'constipation', 'difficulty urinating', 'unusual movements of any part of the body', 'slowed movements of any part of the body', 'uncontrollable movements of any part of the body', 'restlessness', 'excitement', 'increased activity', 'depression', 'breast enlargement', 'breast milk production', 'missed periods', 'heavy bleeding', 'changes in sex drive', 'fever', 'stiff muscles', 'sweating', 'confusion', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'falling down', 'rash', 'neck cramps', 'tongue that sticks out of the mouth', 'fine tongue movements', 'worm-like tongue movements', 'tightness in the throat', 'difficulty breathing', 'difficulty swallowing', 'uncontrollable face movements', 'uncontrollable mouth movements', 'uncontrollable jaw movements', 'rhythmic face movements', 'rhythmic mouth movements', 'rhythmic jaw movements', 'seizures', 'changes in vision']",Molindone
Pentoxifylline,"['upset stomach', 'vomiting', 'gas', 'dizziness', 'headache', 'chest pain', 'fast heartbeat']",Pentoxifylline
Trametinib,"['headache', 'dry skin', 'dry mouth', 'vomiting', 'diarrhea', 'constipation', 'loss of appetite', 'change in ability to taste food', 'tiredness', 'joint pain', 'muscle pain', 'back pain', 'infection of the skin around the fingernails', 'infection of the skin around the toenails', 'unusual bleeding', 'unusual bruising', 'bloody stools', 'black, tarry stools', 'coughing up blood', 'vomiting blood', 'vomiting material that looks like coffee grounds', 'nosebleed', 'stomach pain', 'nausea', 'fever', 'chills', 'rapid heartbeat', 'irregular heartbeat', 'pounding heartbeat', 'difficulty breathing', 'chest pain', 'swelling of the face', 'swelling of the arms', 'swelling of the legs', 'swelling of the ankles', 'swelling of the feet', 'dizziness', 'lightheadedness', 'weakness', 'shortness of breath', 'leg pain', 'leg swelling', 'leg tenderness', 'leg redness', 'leg warmth', 'new cough', 'worsening cough', 'blurred vision', 'change in vision', 'seeing halos', 'seeing colored dots', 'loss of vision', 'eye pain', 'dry eyes', 'red eyes', 'swollen eyes', 'rash', 'red skin', 'pimples', 'wart', 'a reddish bump that bleeds', 'a reddish bump that does not heal', 'change in size of a mole', 'change in color of a mole', 'itching', 'blisters on the skin', 'ulcers on the skin', 'sores on the skin', 'blisters on the lips', 'ulcers on the lips', 'sores on the lips', 'blisters around the mouth', 'ulcers around the mouth', 'sores around the mouth', 'blisters around the eyes', 'ulcers around the eyes', 'sores around the eyes', 'tingling on the palms of the hands', 'burning on the palms of the hands', 'redness on the palms of the hands', 'swelling on the palms of the hands', 'peeling on the palms of the hands', 'flaking on the palms of the hands', 'blisters on the palms of the hands', 'sores on the palms of the hands', 'tingling on the soles of the feet', 'burning on the soles of the feet', 'redness on the soles of the feet', 'swelling on the soles of the feet', 'peeling on the soles of the feet', 'flaking on the soles of the feet', 'blisters on the soles of the feet', 'sores on the soles of the feet', 'swollen glands', 'frequent urination', 'increased thirst']",Trametinib
Floxuridine,"['nausea', 'vomiting', 'loss of appetite', 'loss of weight', 'diarrhea', 'abdominal pain', 'dry skin', 'red skin', 'itchy skin', 'hair loss', 'pain in the place where this medication was injected', 'itching in the place where this medication was injected', 'redness in the place where this medication was injected', 'swelling in the place where this medication was injected', 'blisters in the place where this medication was injected', 'bleeding in the place where this medication was injected', 'sores in the place where this medication was injected', 'sores in the mouth', 'sores in the throat', 'extreme tiredness', 'extreme weakness', 'fever', 'sore throat', 'ongoing cough', 'congestion', 'signs of infection', 'unusual bleeding', 'unusual bruising', 'bloody stools', 'black, tarry stools', 'bloody vomit', 'vomiting blood', 'vomiting brown material that resembles coffee grounds', 'pink urine', 'red urine', 'dark brown urine', 'chest pain', 'hives', 'difficulty breathing', 'difficulty swallowing']",Floxuridine
Sonidegib,"['diarrhea', 'abdominal pain', 'loss of appetite', 'weight loss', 'nausea', 'vomiting', 'change in ability to taste food', 'hair loss', 'itching', 'weakness', 'extreme tiredness', 'pain', 'missed menstrual periods', 'muscle spasms', 'unexplained muscle pain', 'unexplained muscle tenderness', 'unexplained muscle weakness', 'dark urine', 'cola colored urine', 'decreased urination', 'inability to urinate']",Sonidegib
Eprosartan,"['excessive tiredness', 'stomach pain', 'joint pain', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'hoarseness', 'difficulty breathing', 'difficulty swallowing']",Eprosartan
Idarubicin,"['nausea', 'vomiting', 'diarrhea', 'sores in the mouth', 'sores in the throat', 'stomach pain', 'headache', 'joint pain', 'hair loss', 'rash', 'redness on the palms', 'redness on the soles', 'blisters on the palms', 'blisters on the soles', 'seizures', 'hives', 'dizziness', 'fainting', 'pale skin', 'difficulty urinating', 'yellowing of the skin', 'yellowing of the eyes']",Idarubicin
Deucravacitinib,"['runny nose', 'congestion', 'sore throat', 'sore on mouth', 'sore on lips', 'sore on gums', 'sore on tongue', 'sore on roof of mouth', 'acne', 'red bumps around hair follicles', 'swollen bumps around hair follicles', 'painful bumps around hair follicles', 'itchy bumps around hair follicles', 'swelling of face', 'swelling of eyelids', 'swelling of the lips ', 'swelling of mouth', 'swelling of tongue', 'swelling of throat', 'trouble breathing', 'throat tightness', 'chest tightness', 'feeling faint', 'skin rash', 'hives', 'dark-colored urine', 'unexplained muscle pain', 'unexplained muscle weakness', 'unexplained muscle tiredness', 'fever', 'extreme fatigue', 'yellowing of skin', 'yellowing of eyes', 'abdominal pain']",Deucravacitinib
Selumetinib,"['nausea', 'vomiting', 'constipation', 'stomach pain', 'dry skin', 'itching', 'headache', 'mouth ulcers', 'redness around the fingernails', 'nose bleeding', 'fatigue', 'loss of appetite', 'hair loss', 'hair color changes', 'fever', 'unusual bleeding', 'pale skin', 'tiredness', 'blurred vision', 'loss of vision', 'dark spots in your vision', 'vision changes', 'diarrhea', 'vomiting', 'mouth sores', 'rash', 'skin blisters', 'skin peeling', 'muscle pain', 'muscle aches', 'muscle weakness', 'dark urine', 'coughing', 'wheezing', 'shortness of breath', 'swelling of ankles', 'swelling of feet', 'extreme tiredness']",Selumetinib
Triamcinolone,"['upset stomach', 'stomach irritation', 'vomiting', 'headache', 'dizziness', 'insomnia', 'restlessness', 'depression', 'anxiety', 'acne', 'increased hair growth', 'easy bruising', 'irregular menstrual periods', 'absent menstrual periods', 'skin rash', 'swollen face', 'swollen lower legs', 'swollen ankles', 'vision problems', 'cold that lasts a long time', 'infection that lasts a long time', 'muscle weakness', 'black stool', 'tarry stool']",Triamcinolone furetonide
Repotrectinib,"['change in how things taste', 'loss of taste', 'headache', 'nausea', 'constipation', 'diarrhea', 'tiredness', 'weakness', 'fatigue', 'swelling of the face', 'swelling of the eyes', 'swelling of the arms', 'swelling of the legs', 'swelling of the hands', 'swelling of the feet', 'weight gain', 'burning of the hands', 'burning of the feet', 'tingling of the hands', 'tingling of the feet', 'numbness of the hands', 'numbness of the feet', 'yellowing of the skin', 'yellowing of the eyes', 'nausea', 'vomiting', 'loss of appetite', 'pain in upper right side of your stomach', 'dark urine', 'light-colored stools', 'new or worsening cough', 'wheezing', 'shortness of breath', 'trouble breathing', 'muscle pain', 'muscle tenderness', 'muscle weakness', 'difficulty with learning', 'difficulty with memory', 'difficulty with attention', 'difficulty with understanding', 'difficulty with problem solving', 'anxiety', 'depression', 'confusion', 'agitation', 'dizziness', 'feeling unsteady', 'trouble keeping your balance', 'excessive sleepiness', 'difficulty falling asleep', 'difficulty staying asleep', 'hallucinations', 'double vision', 'blurred vision', 'eye sensitivity to light', 'loss of vision', 'changes in vision', 'pain in the joints', 'redness in the joints', 'swelling in the joints', 'pain in the lower back', 'pain in the lower stomach', 'decreased urination', 'pink urine', 'brown urine', 'red urine', 'cloudy urine', 'bad smelling urine', 'bone pain', 'difficulty moving', 'bone abnormalities']",Repotrectinib
Terbinafine,"['diarrhea', 'indigestion', 'itching', 'headache', 'feeling sad', 'feeling worthless', 'feeling restless', 'changes in mood', 'loss of energy', 'loss of interest in daily activities', 'changes in how you sleep', 'nausea', 'loss of appetite', 'extreme tiredness', 'vomiting', 'pain in the right upper part of the stomach', 'dark urine', 'pale stools', 'yellowing of the skin', 'yellowing of the eyes', 'severe skin rash that keeps getting worse', 'fever', 'sore throat', 'signs of infection', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'difficulty swallowing', 'difficulty breathing', 'hoarseness', 'swollen lymph glands', 'peeling skin', 'blistering skin', 'shedding skin', 'hives', 'itching', 'red rash that may be sensitive to sunlight', 'scaly rash that may be sensitive to sunlight', 'loss of skin color', 'mouth sores', 'sore throat', 'fever', 'chills', 'signs of infection', 'chest pain', 'unexplained bleeding', 'unexplained bruising', 'blood in urine', 'fast heartbeat', 'irregular heartbeat']",Terbinafine
Ibuprofen,"['constipation', 'gas', 'bloating', 'dizziness', 'nervousness', 'ringing in the ears', 'unexplained weight gain', 'shortness of breath', 'difficulty breathing', 'swelling of the abdomen', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'diarrhea', 'fever', 'rash', 'blisters', 'peeling skin', 'itching', 'hives', 'swelling of the eyes', 'swelling of the face', 'swelling of the throat', 'swelling of the arms', 'swelling of the hands', 'difficulty breathing', 'difficulty swallowing', 'hoarseness', 'excessive tiredness', 'pain in the upper right part of the stomach', 'nausea', 'loss of appetite', 'yellowing of the skin', 'yellowing of the eyes', 'flu-like symptoms', 'pale skin', 'fast heartbeat', 'cloudy urine', 'discolored urine', 'bloody urine', 'back pain', 'difficult urination', 'painful urination', 'blurred vision', 'changes in color vision', 'vision problems', 'headache', 'stiff neck', 'fever']",Ibuprofen
Eslicarbazepine,"['dizziness', 'difficulty with balance', 'fast eye movements that you cannot control', 'repeated eye movements that you cannot control', 'excessive tiredness', 'sleepiness', 'weakness', 'forgetfulness', 'memory loss', 'difficulty concentrating', 'slowed thinking', 'slowed movement', 'speech problems', 'shakiness', 'uncontrollable shaking of a part of the body', 'nausea', 'vomiting', 'constipation', 'stomach pain', 'infections that come and go', 'infections that do not go away', 'fever', 'blisters', 'rash', 'swollen glands', 'sores in the mouth', 'sores around the eyes', 'hives', 'swelling of the eyes', 'swelling of the face', 'swelling of the lips', 'swelling of the tongue', 'swelling of the mouth', 'swelling of the throat', 'hoarseness', 'difficulty breathing', 'difficulty swallowing', 'seizures that happen more often', 'seizures that are worse than before', 'difficulty walking', 'headache', 'confusion', 'irritability', 'muscle weakness', 'muscle spasms', 'unusual bruising', 'unusual bleeding', 'yellowing of the skin', 'yellowing of the eyes', 'loss of appetite', 'pain in the upper right part of the stomach', 'blurred vision', 'double vision']",Eslicarbazepine
Duvelisib,"['nausea', 'vomiting', 'constipation', 'tiredness', 'headache', 'muscle pain', 'joint pain', 'yellow eyes', 'yellow skin', 'abdominal pain', 'unexplained bruising', 'unexplained bleeding', 'loss of appetite', 'yellow urine', 'brown-colored urine', 'pale stools', 'pain in the upper right part of the stomach']",Duvelisib
Nitisinone,"['nose bleeds', 'itching skin', 'dry skin', 'thin hair', 'loss of hair', 'sensitivity to light', 'eye pain', 'red eyes', 'swollen eyes', 'burning eyes', 'itchy eyes', 'blurry vision', 'excessive tears', 'eye discharge', 'crusty eyes', 'painful thickened patches of skin on soles', 'painful thickened patches of skin on palms', 'raised patches of skin on soles', 'raised patches of skin on palms', 'fever', 'chills', 'cough', 'shortness of breath', 'painful urinating', 'difficulty urinating', 'sore throat', 'weakness', 'fatigue', 'easy bruising', 'bleeding gums', 'nose bleeds', 'heavy periods', 'taking longer to stop bleeding after cuts', 'taking longer to stop bleeding after scrapes', 'blood in urine', 'blood in stool']",Nitisinone
Cefadroxil,"['diarrhea', 'vomiting', 'genital itching', 'watery stools', 'bloody stools', 'stomach cramps', 'fever during treatment', 'fever up to two or more months after stopping treatment', 'rash', 'itching', 'hives', 'difficulty breathing', 'difficulty swallowing', 'wheezing', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'sore throat', 'chills', 'signs of infection', 'yellowing of your skin', 'yellowing of your eyes', 'pain in the upper right part of your stomach', 'dark urine', 'clay colored stools', 'white stools']",Cefadroxil
Naloxegol,"['diarrhea', 'nausea', 'gas', 'stomach pain', 'vomiting', 'headache', 'sweating', 'chills', 'anxiety', 'irritability', 'yawning', 'severe stomach pain', 'worsening stomach pain', 'severe diarrhea', 'worsening diarrhea', 'rash', 'hives', 'swelling of the face', 'swelling of the lips', 'swelling of the throat', 'swelling of the tongue', 'swelling of the hands', 'swelling of the feet']",Naloxegol
Aldesleukin,"['nausea', 'vomiting', 'diarrhea', 'loss of appetite', 'sores in the mouth', 'sores in the throat', 'tiredness', 'weakness', 'dizziness', 'general feeling of being unwell', 'pain at the place where the injection was given', 'redness at the place where the injection was given', 'seizures', 'chest pain', 'extreme worry', 'abnormal excitement', 'agitation', 'new depression', 'worsening depression', 'seeing things that do not exist', 'hearing voices that do not exist', 'changes in your vision', 'changes in your speech', 'loss of coordination', 'decreased alertness', 'unusual bruising', 'unusual bleeding', 'extreme sleepiness', 'extreme tiredness', 'difficulty breathing', 'wheezing', 'stomach pain', 'yellowing of the skin', 'yellowing of the eyes', 'decreased urination', 'rash', 'hives', 'itching', 'difficulty breathing', 'difficulty swallowing']",Aldesleukin
Vamorolone,"['headache', 'vomiting', 'diarrhea', 'increased appetite', 'runny nose', 'difficulty falling asleep', 'difficulty staying asleep', 'sore throat', 'fever', 'chills', 'cough', 'signs of infection', 'rash', 'hives', 'itching', 'swelling of face', 'swelling of eyes', 'swelling of the lips ', 'swelling of throat', 'difficulty swallowing', 'difficulty breathing', 'confusion', 'extreme changes in mood', 'changes in personality', 'inappropriate happiness', 'depression', 'weight gain', 'weight loss', 'stomach pain', 'shortness of breath', 'sudden weight gain', 'swelling of feet', 'swelling of ankles', 'swelling of lower legs', 'changes in vision']",Vamorolone
Imatinib,"['diarrhea', 'nausea', 'vomiting', 'change in the way things taste', 'mouth sores', 'swelling inside the mouth', 'loss of appetite', 'weight loss', 'heartburn', 'indigestion', 'dry mouth', 'headache', 'joint swelling', 'joint pain', 'bone pain', 'muscle cramps', 'muscle spasms', 'muscle pain', 'tingling feeling on the skin', 'burning feeling on the skin', 'prickling feeling on the skin', 'difficulty falling asleep', 'difficulty staying asleep', 'sweating', 'red eyes', 'teary eyes', 'flushing', 'dry skin', 'rash', 'itching', 'nail changes', 'hair loss', 'swelling of the face', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'sudden weight gain', 'shortness of breath', 'fast heartbeat', 'irregular heartbeat', 'pounding heartbeat', 'decreased urination', 'chest pain', 'peeling skin', 'blistering skin', 'shedding skin', 'yellowing of the skin', 'yellowing of the eyes', 'loss of appetite', 'fatigue', 'pain in the upper right part of the stomach', 'nausea', 'vomiting', 'flu-like symptoms', 'unusual bruising', 'unusual bleeding', 'bloody stools', 'black stools', 'tarry stools', 'coughing up blood', 'vomiting blood', 'vomiting material that looks like coffee grounds', 'nosebleed', 'flu-like symptoms', 'sore throat', 'fever', 'chills', 'signs of infection', 'excessive tiredness', 'weakness', 'abdominal pain', 'abdominal bloating']",Imatinib
Migalastat,"['headache', 'cough', 'congestion', 'runny nose', 'sore throat', 'fever', 'nausea', 'vomiting', 'diarrhea', 'stomach pain', 'nosebleed', 'back pain', 'frequent urination', 'urgent urination', 'burning urination', 'painful urination', 'decrease in amount of urine', 'urine that is cloudy', 'urine that is red', 'urine that is pink', 'urine that is brown', 'strong smelling urine', 'pelvic pain', 'rectal pain', 'fever', 'back pain', 'swelling of the eyes', 'swelling of the face', 'swelling of the mouth', 'swelling of the lips', 'swelling of the tongue', 'swelling of the throat', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs']",Migalastat
Sargramostim,"['redness in the area where this medication was injected', 'swelling in the area where this medication was injected', 'bruising in the area where this medication was injected', 'itching in the area where this medication was injected', 'a lump in the area where this medication was injected', 'bone pain', 'joint pain', 'muscle pain', 'headache', 'nausea', 'vomiting', 'diarrhea', 'stomach pain', 'mouth sores', 'loss of appetite', 'hair loss', 'shortness of breath', 'fast breathing', 'difficulty breathing', 'wheezing', 'dizziness', 'sweating', 'hives', 'rash', 'itching', 'swelling around the mouth', 'swelling around the face', 'swelling around the eyes', 'swelling around the stomach', 'swelling around the feet', 'swelling around the ankles', 'swelling around the lower legs', 'sudden weight gain', 'chest pain', 'fast heartbeat', 'irregular heartbeat', 'fainting', 'unusual bruising under the skin', 'purple markings under the skin', 'unusual bleeding', 'nosebleeds', 'unusual tiredness', 'unusual weakness', 'decreased urination']",Sargramostim
Ozenoxacin,"['new rash at or near the area being treated', 'infection at or near the area being treated']",Ozenoxacin
