name,pharmacodynamics
Ibuprofen,Ibuprofen has multiple actions in different inflammatory pathways involved in acute and chronic inflammation. The main effects reported in ibuprofen are related to the control of pain fever and acute inflammation by the inhibition of the synthesis of prostanoids by COX-1 and COX-2. Pain relief is attributed to peripheral affected regions and central nervous system effects in the pain transmission mediated by the dorsal horn and higher spinothalamic tract. Some reports have tried to link the pain regulation with a possible enhancement on the synthesis of endogenous cannabinoids and action on the NMDA receptors. The effect on pain has been shown to be related to the cortically evoked potentials.[A39190]The antipyretic effect is reported to be linked to the effect on the prostanoid synthesis due to the fact that the prostanoids are the main signaling mediator of pyresis in the hypothalamic-preoptic region.[A39190]The use of ibuprofen in dental procedures is attributed to the local inhibition of prostanoid production as well as to anti-oedemic activity and an increase of plasma beta-endorphins. Some reports have suggested a rapid local reduction of the expression of COX-2 in dental pulp derived by the administration of ibuprofen.[A39190]The administration of ibuprofen in patients with rheumatic diseases has shown to control joint symptoms.[A39092] Ibuprofen is largely used in OTC products such as an agent for the management of dysmenorrhea which has been proven to reduce the amount of menstrual prostanoids and to produce a reduction in the uterine hypercontractility.[A39181] As well it has been reported to reduce significantly the fever and the pain caused by migraines.[A39182 A39183] This effect is thought to be related to the effect on platelet activation and thromboxane A2 production which produces local vascular effects in the affected regions. This effect is viable as ibuprofen can enter in the central nervous system.[A39190]In the investigational uses of ibuprofen it has been reported to reduce neurodegeneration when given in low doses over a long time.[A39184] On the other hand its use in Parkinson disease is related to the importance of inflammation and oxidative stress in the pathology of this condition.[A39185] The use of ibuprofen for breast cancer is related to a study that shows a decrease of 50% in the rate of breast cancer.[A39186]
Diphenhydramine,Diphenhydramine has anti-histaminic (H1-receptor) anti-emetic anti-vertigo and sedative and hypnotic properties [L5281]. The anti-histamine action occurs by blocking the spasmogenic and congestive effects of histamine by competing with histamine for H1 receptor sites on effector cells preventing but not reversing responses mediated by histamine alone [L5281]. Such receptor sites may be found in the gut uterus large blood vessels bronchial muscles and elsewhere [L5281]. Anti-emetic action is by inhibition at the medullary chemoreceptor trigger zone [L5281]. Anti-vertigo action is by a central antimuscarinic effect on the vestibular apparatus and the integrative vomiting center and medullary chemoreceptor trigger zone of the midbrain [L5281].
Chlorpheniramine,In allergic reactions an allergen interacts with and cross-links surface IgE antibodies on mast cells and basophils. Once the mast cell-antibody-antigen complex is formed a complex series of events occurs that eventually leads to cell-degranulation and the release of histamine (and other chemical mediators) from the mast cell or basophil. Once released histamine can react with local or widespread tissues through histamine receptors. Histamine acting on H<sub>1</sub>-receptors produces pruritis vasodilatation hypotension flushing headache tachycardia and bronchoconstriction. Histamine also increases vascular permeability and potentiates pain. Chlorpheniramine is a histamine H1 antagonist (or more correctly an inverse histamine agonist) of the alkylamine class. It competes with histamine for the normal H<sub>1</sub>-receptor sites on effector cells of the gastrointestinal tract blood vessels and respiratory tract. It provides effective temporary relief of sneezing watery and itchy eyes and runny nose due to hay fever and other upper respiratory allergies.
Nifedipine,Nifedipine is an inhibitor of L-type voltage gated calcium channels that reduces blood pressure and increases oxygen supply to the heart.[A190204] Immediate release nifedipine's duration of action requires dosing 3 times daily.[L11383] Nifedipine dosing is generally 10-120mg daily.[L11383] Patients should be counselled regarding the risk of excessive hypotension angina and myocardial infarction.[L11383]
Rabeprazole,Rabeprazole prevents the production of acid in the stomach. It reduces symptoms and prevents injury to the esophagus or stomach in patients with gastroesophageal reflux disease (GERD) or ulcers. Rabeprazole is also useful in conditions that produce too much stomach acid such as Zollinger-Ellison syndrome. Rabeprazole may also be used with antibiotics to get rid of bacteria that are associated with some ulcers. Rabeprazole is a selective and irreversible proton pump inhibitor suppresses gastric acid secretion by specific inhibition of the H<sup>+</sup> K<sup>+</sup> -ATPase which is found at the secretory surface of parietal cells. In doing so it inhibits the final transport of hydrogen ions (via exchange with potassium ions) into the gastric lumen.
Pioglitazone,Pioglitazone enhances cellular responsiveness to insulin increases insulin-dependent glucose disposal and improves impaired glucose homeostasis.[A19757] In patients with type 2 diabetes mellitus these effects result in lower plasma glucose concentrations lower plasma insulin concentrations and lower HbA1c values.[A19757] Significant fluid retention leading to the development/exacerbation of congestive heart failure has been reported with pioglitazone - avoid its use in patients in heart failure or at risk of developing heart failure.[L11416] There is some evidence that pioglitazone may be associated with an increased risk of developing bladder cancer. Pioglitazone should not be used in patients with active bladder cancer and should be used with caution in patients with a history of bladder cancer.[L11416]
Acebutolol,Acebutolol is a cardioselective beta-adrenoreceptor blocking agent which possesses mild intrinsic sympathomimetic activity (ISA) in its therapeutically effective dose range. In general beta-blockers reduce the work the heart has to do and allow it to beat more regularly. Acebutolol has less antagonistic effects on peripheral vascular &szlig;2-receptors at rest and after epinephrine stimulation than nonselective beta-antagonists. Low doses of acebutolol produce less evidence of bronchoconstriction than nonselective agents like propranolol but more than atenolol.
Levobunolol,Levobunolol is an ophthalmic beta-blocker equally effective at &beta;(1)- and &beta;(2)-receptor sites. Levobunolol reduces both elevated and normal IOP in patients with or without glaucoma. In patients with elevated IOP levobunolol reduces mean IOP by approximately 25-40% from baseline. As the drug is a nonselective &beta-adrenergic blocking agent it can produce both systemic pulmonary and cardiovascular effects following topical application to the eye. These effects include adverse pulmonary effects (eg. bronchoconstriction increased airway resistance) and a decrease in blood pressure and heart rate. 
Budesonide,Budesonide is a glucocorticoid used to treat respiratory and digestive conditions by reducing inflammation.[L10601L10604L10607L10613L10619L10622L10625] It has a wide therapeutic index as dosing varies highly from patient to patient.[L10601L10604L10607L10613L10619L10622L10625] Patients should be counselled regarding the risk of hypercorticism and adrenal axis suppression.[L10601L10604L10607L10613L10619L10622L10625]
Aripiprazole,Aripiprazole exhibits high affinity for dopamine D<sub>2</sub> and D<sub>3</sub> serotonin 5-HT<sub>1a</sub> and 5-HT<sub>2a</sub> receptors (Ki values of 0.34 nM 0.8 nM 1.7 nM and 3.4 nM respectively) moderate affinity for dopamine D<sub>4</sub> serotonin 5-HT<sub>2c</sub> and 5-HT<sub>7</sub> alpha<sub>1</sub>-adrenergic and histamine H<sub>1</sub> receptors (Ki values of 44 nM 15 nM 39 nM 57 nM and 61 nM respectively) and moderate affinity for the serotonin reuptake site (Ki=98 nM). Aripiprazole has no appreciable affinity for cholinergic muscarinic receptors (IC<sub>50</sub>>1000 nM).[L45859]
Dextroamphetamine,Dextroamphetamine is a noncatecholamine sympathomimetic amine that acts as a CNS stimulant.[L13062] Dextroamphetamine raises systolic and diastolic blood pressure acts as a weak bronchodilator and also acts as a respiratory stimulant.[L13062] The general mechanism of action of dextroamphetamine has not been well established.[L13062]
Everolimus,-1
Flibanserin,-1
Abiraterone,_In vivo_ abiraterone acetate is rapidly hydrolyzed to abiraterone which mediates its pharmacological actions.[A3810] Abiraterone decreases serum testosterone and other androgens. A change in serum prostate-specific antigen (PSA) levels may be observed.[L40968]
Aluminum hydroxide,Gastric-peptic disease occurs as a result of an imbalance between protective factors such as mucus bicarbonate and prostaglandin secretion and aggressive factors such as hydrochloric acid pepsin and Helicobacter pylori (H. pylori). Antacids work by restoring acid-base balance attenuating the pepsin activity and increasing bicarbonate and prostaglandin secretion. 
Alcaftadine,-1
Brentuximab vedotin,Brentuximab vedotin causes apoptosis of tumor cells by preventing cell cycle progression of the G2 to M phase through disruption of the cytosolic microtuble network thus preventing tumor growth and proliferation.[L39789]Hodgkin lymphoma (HL) is characterized by malignant Reed-Sternberg cells which express CD30 a marker of large cell lymphoma.[A32159] Until March 2018 USA National Comprehensive Cancer Network guidelines for patients with advanced HL (stage III/IV disease) recommend treatment with  adriamycin bleomycin vinblastine and dacarbazine (ABVD) or escalated bleomycin etoposide adriamycin cyclophosphamide vincristine procarbazine and prednisone (BEACOPP) as first-line regimens.[L1740] ABVD appears to be as effective with fewer side effects as escalated BEACOPP. Escalated BEACOPP leads to a greater progression-free survival but no difference in overall survival. Recent progress in technology has enabled a new shift to cancer therapy targeting specific molecules. Brentuximab vedotin a CD30-directed antibody conjugate selectively targets malignant HL cells.[A32158]The effect of Brentuximab vedotin (1.8 mg/kg) on the QTc interval was studied in an open-label single-group study in 46 patients diagnosed with CD30-expressing hematologic malignancies.  Ingestion of brentuximab vedotin did not prolong the mean cardiac QTc interval >10 ms from baseline levels.  Smaller increases in the mean QTc interval (<10 ms) cannot be ruled out because this study did not include a placebo arm and a positive control arm.[L39789]
Aflibercept,The equilibrium dissociation constants (K<sub>D</sub>) for aflibercept for various human receptors are as follow: 0.5 pM for VEGF-A<sub>165</sub> 0.36 pM for VEGF-A<sub>121</sub> 1.92 pM for VEGF-B and 39 pM for PlGF-2.[L45141]The effect of 6 mg per kg intravenous aflibercept every three weeks on QTc interval was evaluated in 87 patients with solid tumors in a randomized placebo-controlled study. No large changes in the mean QT interval from baseline (i.e. greater than 20 ms as corrected for placebo) based on the Fridericia correction method were detected in the study. However a small increase in the mean QTc interval (i.e. less than 10 ms) cannot be excluded due to the limitations of the study design.[L45141]
Aclidinium,Aclidinium does not prolong the QTc interval or have significant effects on cardiac rhythm. 
Afatinib,Aberrant ErbB signaling triggered by receptor mutations and/or amplification and/or receptor ligand overexpression contributes to the malignant phenotype [L2937]. Mutation in EGFR defines a distinct molecular subtype of lung cancer [L2937].In non-clinical disease models with ErbB pathway deregulation afatinib as a single agent effectively blocks ErbB receptor signaling resulting in tumor growth inhibition or tumor regression [L2937]. NSCLC tumors with common activating EGFR mutations (Del 19 L858R) and several less common EGFR mutations in exon 18 (G719X) and exon 21 (L861Q) are particularly sensitive to afatinib treatment in non-clinical and clinical settings [L2937]. Limited non-clinical and/or clinical activity was observed in NSCLC tumors with insertion mutations in exon 20 [L2937].The acquisition of a secondary T790M mutation is a major mechanism of acquired resistance to afatinib and gene dosage of the T790M-containing allele correlates with the degree of resistance in vitro [L2937]. The T790M mutation is found in approximately 50% of patients' tumors upon disease progression on afatinib for which T790M targeted EGFR TKIs may be considered as a next line treatment option [L2937]. Other potential mechanisms of resistance to afatinib have been suggested preclinically and MET gene amplification has been observed clinically [L2937].At the same time the effect of multiple doses of afatinib (50 mg once daily) on cardiac electrophysiology and the QTc interval was evaluated in an open-label single-arm study in patients with relapsed or refractory solid tumors [FDA Label]. Ultimately no large changes in the mean QTc interval (i.e. >20 ms) were detected in the study [FDA Label].
Riociguat,-1
Albiglutide,-1
Benzoyl peroxide,Benzoyl peroxide is a topical treatment for acne that generates free radicals to break down comedones and increase the rate of epithelial cell turnover.[A18903A234059A234064A234069L33264L33269L33299L33314] It has a short duration of action as its active free radical metabolites quickly react to form inactive metabolites.[A18903] The therapeutic index is wide as overdoses are rare however patients may still experience skin peeling.[L33264L33269L33299L33314] Patients should be counselled regarding increased risks of skin irritation dryness and sunburn.[L33264L33269L33299L33314]
Magnesium hydroxide,As an antacid magnesium hydroxide suspension neutralizes gastric acid by reacting with hydrochloric acid in the stomach to form magnesium chloride and water. It is practically insoluble in water and does not have any effect until it reacts with the hydrochloric acid in the stomach. There it decreases the direct acid irritant effect and increases the pH in the stomach leading to inactivation of pepsin. Magnesium hydroxide enhances the integrity of the mucosal barrier of the stomach as well as improving the tone of both the gastric and esophageal sphincters. As a laxative the magnesium hydroxide works by increasing the osmotic effect in the intestinal tract and drawing water in. This creates distension of the colon which results in an increase in peristaltic movement and bowel evacuation. 
Lixisenatide,Lixisenatide acts as an agonist at the GLP-1 receptor. In the pancreas this agonism results in increased glucose-stimulated insulin exocytosis by beta islet cells. This produces a reduction in blood glucose due to increased glucose uptake by tissues.[A19192] GLP-1 receptor activation in the GI tract results in delayed gastric emptying which is thought to mediate the effects of lixisenatide on postprandial blood glucose.
Acalabrutinib,Acalabrutinib is a Bruton Tyrosine Kinase inhibitor that prevents the proliferation trafficking chemotaxis and adhesion of B cells.[L10241] It is taken every 12 hours and can cause other effects such as atrial fibrillation other malignancies cytopenia hemorrhage and infection.[L10241]
Rifamycin,Rifamycin is known to be effective against Gram-positive and Gram-negative pathogens and mycobacteria. It is very effective against _E. coli_ reporting a MIC90 of 64-128 mcg/ml without showing cross-resistance with other antimicrobial agents.[A39996]The specific indication of rifamycin is extremely important as ther were previous reports that indicated a high risk factor in the generation of resistant _E. coli_ strains in patients with inflammatory bowel disease.[L4804]In clinical trials rifamycin was tested in a randomized clinical trial of travellers' coming from Mexico and Guatemala. In this trial rifamycin was proven to significantly reduce the symptoms of travellers' diarrhea.[L4802]
Niraparib,Niraparib mediated cytotoxic effects in tumour cell lines with or without deficiencies in _BRCA1/2_. Decreased tumour growth was observed in both mouse xenograft models of human cancer cell lines with deficiencies in _BRCA1/2_ and human patient-derived xenograft tumour models with homologous recombination deficiency (HRD) that had either mutated or wild-type _BRCA1/2_.[L43277]_In vitro_ studies suggest that niraparib inhibits dopamine norepinephrine and serotonin transporters which may explain its off-target cardiovascular effects such as increased pulse rate and blood pressure.[A253248]
Abemaciclib,In combination with fulvestrant the progression-free survival for patients with HR-positive HER2-negative breast cancer was 16.4 months compared to 9.3 months for patients taking a placebo with fulvestrant. As a monotherapy 19.7% of patients taking abemaciclib achieved complete or partial shrinkage of their tumors for a median 8.6 months after treatment [L1003]. Abemaciclib induces cell cycle arrest and exerts an antitumor activity in human tumor xenograft models [A27281]. In patient investigations and a healthy volunteer study abemaciclib is not shown to induce any clinically significant changes in the QTc interval [FDA Label]. 
Tralokinumab,Tralokinumab exerts its therapeutic effects by inhibiting the inflammatory cytokine (IL-13) primarily responsible for the pathogenesis of atopic dermatitis. It is administered subcutaneously with a loading dose of 600mg followed by a maintenance dose of 300mg every two weeks.[L39287] In clinical studies tralokinumab treatment decreased the concentrations of a number of Th2 and Th22 immunity biomarkers in the blood including periostin IL-22 serum IgE. It also reduced epidermal thickness and decreased the expression of Keratin 16 and Ki-67 in skin affected by atopic dermatitis.[L39287]Hypersensitivity reactions including anaphylaxis have been reported following the use of tralokinumab.[L39287] Patients experiencing a systemic hypersensitivity reaction should discontinue treatment and initiate immediate therapy as clinically indicated. Tralokinumab should not be used in patients with pre-existing helminth infections as the influence of tralokinumab on the immune response against helminth infections is unclear.[L39287] Patients with helminth infections should be treated prior to therapy with tralokinumab. Patients becoming infected during the course of therapy may be treated with anti-helminth medications but should discontinue tralokinumab if the infection fails to resolve.[L39287]
Trifarotene,Trifarotene exerts its effects via agonism at retinoid receptors - these receptors function to alter DNA transcription resulting in downstream modulation of the expression of various genes involved in acne pathogenesis.[A187081] It may be associated with skin irritation and should not be applied to cuts abrasions or otherwise damaged skin. As trifarotene may result in photosensitivity patients should be cautioned to avoid excess sun exposure and to use sunscreen and/or protective clothing if exposure is unavoidable.[L9013]
Aceclidine,Aceclidine is a cholinergic muscarinic agonist that stimulates miosis in order to extend the depth of focus to improve vision.[L53768]Systemic exposure to aceclidine and its metabolites following topical ocular administration is low.[L53768] The onset of effect for presbyopia treatment is observed within 30 minutes and the effect can last up to 10 hours.[L53768A274273] Patients may experience temporary dim or dark vision and should exercise caution with night driving or other hazardous activities in poor illumination.[L53768] Rare cases of retinal tears and detachments have been reported with miotics and patients should be advised to seek immediate medical care for sudden onset of flashing lights floaters or vision loss.[L53768] Caution is also advised in patients with a history of iritis as miotics may exacerbate ocular inflammation.[L53768]
Erenumab,As a human monoclonal antibody designed to specifically bind with and antagonize the calcitonin gene-related peptide (CGRP) receptor there is the possibility that erenumab could interfere with natural activities of CGRP that may not be immediately or directly associated with migraines. For example at peripheral synapses CGRP released from trigeminal terminals results in vasodilation by way of CGRP receptor on smooth muscle cells of meningeal and cerebral blood vessels making CGRP a potent general arterial vasodilator [A33090]. Antagonism of CGRP receptors responsible for such vasodilation could theoretically result in vasoconstriction and raises in blood pressure.In a randomised double-blind placebo-controlled study in healthy volunteers concomitant administration of erenumab (140 mg intravenous single dose) with sumatriptan (12 mg subcutaneous given as two 6 mg doses separated by one hour) had no effect on resting blood pressure compared with sumatriptan alone however [FDA Label]. Please note that erenumab is indicated for subcutaneous use only though [FDA Label].
Fremanezumab,Fremanezumab is a subcutaneous injection that targets the calcitonin gene-related peptide (CGRP) preventing its binding to the CGRP receptor.[A33114L11749] It possesses a long duration of action requiring only monthly or quarterly administration and appears well-tolerated in clinical trials.[L11749]
Abrocitinib,Abrocitinib mediates anti-inflammatory effects by blocking the signalling of pro-inflammatory cytokines implicated in atopic dermatitis.[A244554] It dose-dependently reduces the serum markers of inflammation in atopic dermatitis including high sensitivity C-reactive protein (hsCRP) interleukin-31 (IL-31) and thymus and activation regulated chemokine (TARC). These changes returned to near baseline within four weeks following drug discontinuation.[L39769] At two weeks of treatment the mean absolute lymphocyte count increased which returned to baseline by nine months of treatment. Treatment with abrocitinib was associated with a dose-related increase in B cell counts and a dose-related decrease in NK cell counts: the clinical significance of these changes is unknown.[L39774]Treatment with 200 mg abrocitinib once-daily was associated with a transient dose-dependent decrease in platelet count with the nadir occurring at a median of 24 days. Recovery of platelet count (~40% recovery by 12 weeks) occurred without discontinuation of the treatment.[L39769]
Vamorolone,In clinical studies treatment with vamorolone induced a dose-dependent decrease in morning cortisol levels and a dose-dependent increase in leukocyte and lymphocyte counts.[L48671]
Crizanlizumab,Crizanlizumab is a P-selectin inhibitor that prevents interactions between endothelial cells platelets red blood cells and leukocytes.[L10097] It has a long duration of action as it is given every 4 weeks.[L10097] Patients should be counselled regarding the risk of infusion reactions as well as crizanlizumab's interference with platelet counts using EDTA tubes.[L10097]
Adagrasib,The exposure-response relationship and pharmacodynamic response time course of adagrasib have not been elucidated. The use of adagrasib can cause QTc interval prolongation. The increase in QTc is concentration-dependent. In patients given 600 mg of adagrasib twice daily the mean QTcF change from baseline (ΔQTcF) was 18 ms at the mean steady-state maximum concentration.[L44361] The use of adagrasib can also lead to severe gastrointestinal adverse reactions hepatotoxicity and interstitial lung disease/pneumonitis.[L44361]
Idecabtagene vicleucel,-1
Nadofaragene firadenovec,The safety tolerability and maximum tolerated dose (MTD) of nadofaragene firadenovec were evaluated in a phase 1 first-in-human study that enrolled patients (n=17) with BCG-unresponsive non-muscle invasive bladder cancer (NMIBC). Patients were given five different dose levels in a dose volume of 75 ml: 3 x 10<sup>9</sup> vp/mL 1 x 10<sup>10</sup> vp/mL 3 x 10<sup>10</sup> vp/mL 1 x 10<sup>11</sup> vp/mL and 3 x 10<sup>11</sup> vp/mL; and human interferon alfa-2b (IFNα2b) protein was used as a pharmacodynamic marker. Except for two patients given the lowest nadofaragene firadenovec dose IFNα2b protein was detected in the urine of all patients. IFNα2b protein was detected up to 10 days after nadofaragene firadenovec administration suggesting that IFNα2b is expressed in the bladder. Following nadofaragene firadenovec administration measurable concentrations of IFNα2b protein were detected in urine up to day 12 post-dose and this was more common in patients at the high dose level.[L44381]
Acoramidis,At the recommended dosage near-complete _in vitro_ transthyretin (TTR) stabilization was observed as early as Day 28 and through completion of a 30-month study of patients with ATTR-CM (wild-type and variant).[L51958]Acoramidis may decrease serum concentrations of free thyroxine without an accompanying change in thyroid stimulating hormone - this is an effect common to TTR stabilizers and is likely due to reduced thyroxine binding to (or displacement from) TTR.[L51958]
Afamitresgene autoleucel,Afamitresgene autoleucel triggers strong cytotoxic activity and the release of effector cytokines against various HLA-A02/MAGE-A4 cancer cells.[A264164] In patients with synovial sarcoma who were treated with afamitresgene autoleucel serum concentrations of cytokines and other soluble factors involved in cellular homeostasis T cell activation and inflammation (e.g. IFNγ IL-6 IL-8 IL-15 and IL-2Rα) increased post-infusion peaking between Days 3-8.[L51114]
Acoltremon,-1
